School Name,City,Type,Address,Website,Phone,Email,Description
"Dipont Huayao Collegiate School","Shanghai","School",,"https://www.international-schools-database.com/account/guest/new",,,
"It has also received IB World School","Shanghai","School",,"https://www.international-schools-database.com/account/guest/new",,,
"Excellent German School","Shanghai","School",,,,,
"Canadian International School","Shanghai","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Nord Anglia Chinese International School","Shanghai","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Shanghai High School","Shanghai","School",,"https://www.international-schools-database.com/account/guest/new",,,
"Shanghai Community International School","Shanghai","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Continuum World School","Shanghai","School",,,,,
"IB Continuum World School","Shanghai","School",,"https://www.international-schools-database.com/account/guest/new",,,
"Yew Chung International School","Shanghai","International School",,"https://www.international-schools-database.com/account/guest/new",,,
